question,contexts,ground_truth
Можно ли не расписываться на карте?,"['После получения карты поставьте свою подпись в прямоугольнике, расположенном на оборотной стороне карты. При отсутствии подписи карта может быть не принята к оплате в торгово-сервисном предприятии, а также повышается риск использования карты злоумышленниками в случае ее утраты/кражи.']","При отсутствии подписи карта может быть не принята к оплате в торгово-сервисном предприятии, а также повышается риск использования карты злоумышленниками в случае ее утраты/кражи."
"Мой друг попросил меня дать свою карту для оплаты и потом вернуть, это не опасно?","['Никогда не принимайте рекомендации, советы, помощь от третьих лиц при пользовании картой, особенно при снятии наличных денежных средств в банкоматах. В случае возникновения затруднений при совершении операции обратитесь Банк посредством дистанционного обслуживания. Обращайте внимание на расположение банкоматов. Старайтесь не пользоваться банкоматами, расположенными в плохо освещенных и безлюдных местах', 'Не передавайте карту другим лицам, в т.ч. родственникам и знакомым для проведения транзакций. С целью исключения Ваших потерь от несанкционированного использования Вашей карты (копирования информации с Вашей карты для ее дальнейшего мошеннического использования): при совершении операции оплаты с использованием карты никогда не выпускайте Вашу карту из поля зрения и требуйте от обслуживающего Вас лица, чтобы все операции с использованием карты совершались в Вашем присутствии.']","Не передавайте карту другим лицам, в т.ч. родственникам и знакомым для проведения транзакций и никогда не принимайте рекомендации, советы, помощь от третьих лиц при пользовании картой, особенно при снятии наличных денежных средств в банкоматах."
Можно ли передавать продавцу свою карту при оплате на кассе или это небезапасно?,"['Допускается передать карту при совершении оплаты, если терминалы не поддерживают функцию бесконтактной оплаты, но операции с использованием карты должны быть совершены в Вашем присутствии.', '\n• Не забывайте забрать Вашу карту после проведения операции. Убедитесь, что возвращенная карта принадлежит Вам. \nЗапрещается оставлять под любым предлогом карту в организациях торговли (услуг).\n• Проверяйте правильность суммы, указанной на платежном чеке. Поставив подпись на платежном чеке, Вы \nсоглашаетесь со списанием указанной на нем суммы с Вашего карточного счета.\n• Не используйте карту для оплаты, если кассир или торговая точка не вызывают у Вас доверия. Особенно осторожно \nиспользуйте карту в странах повышенного риска (Таиланд, Тайвань, Филиппины, Турция, Мексика, Венесуэла, \nГонконг, Индонезия, Украина, США, Индия, Беларусь). В этих странах высок риск копирования данных Вашей карты \nи использования их для изготовления подделок. В таких странах для снятия наличных денежных средств рекомендуется \nиспользовать банкоматы известных банков, которые установлены в отделениях и крупных торговых центрах.\n• Запомните, что по операциям оплаты товаров и услуг в торгово-сервисных предприятиях картой Тинькофф Банка \nвведение ПИН-кода не требуется, если в Мобильном Банке Вы не выбрали опцию подтверждения покупок Пин-кодом.\nОбязательно сохраняйте все документы по операциям до момента отражения в выписке по Вашей карте.\n• Как можно чаще (минимально — при получении ежемесячной выписки) проверяйте выписку по Вашей карте \nи соответствие указанных в ней операций реально произведенным расходам. В случае обнаружения каких-либо \nрасхождений, обратитесь в Банк посредством дистанционного обслуживания. Не сообщайте реквизиты Вашей \nбанковской карты (номер карты, срок действия, трехзначный код безопасности, ПИН-код), за исключением \nиспользования Вами автоматизированных систем MOTO и систем интернет коммерции.\n• Не сообщайте данные своего Заявления-Анкеты, направленного в Банк, и, особенно, кодовое слово, третьим лицам. \nПомните, Банк получил Ваши персональные данные вместе с Заявлением-Анкетой. Кодовое слово необходимо как \nдополнительный критерий для идентификации Вас в качестве клиента Банка (в т.ч. при обращении для разблокировки \nдоступов и пр.). О любых попытках узнать Ваши персональные данные немедленно сообщайте в Банк посредством \nдистанционного обслуживания. \n• Не используйте карту, которую Вы заявили, как утерянную или украденную. Если после блокировки, Вы обнаружили \nкарту, Вам следует обратиться в Банк посредством дистанционного обслуживания для получения дальнейших \nинструкций.\n• Для контроля операций по Вашей карте в режиме реального времени и своевременного выявления \nнесанкционированных операций рекомендуем Вам подключить услугу Оповещение об операциях.\n• Установите лимиты на платежи и снятие наличных по карте. Если с картой что-то случится, преступники не заберут \nвсе деньги на счете. Лимиты на снятие наличных и на операции по карте можно установить самостоятельно в разделе \n«Баланс и лимиты» в личном кабинете или разделе «Лимиты» мобильного приложения.\n• Запишите телефонные номера Банка и всегда имейте эту информацию при себе, хранящейся отдельно от карты. Она \nможет понадобиться Вам для экстренной блокировки Вашей карты, если карта будет утеряна или украдена.']","Да, можно в некоторых случаях, например, допускается передать карту при совершении оплаты, если терминалы не поддерживают функцию бесконтактной оплаты, но операции с использованием карты должны быть совершены в Вашем присутствии. В конце не забывайте забрать Вашу карту и сверить итоговую сумму в чеке."
Безопасно ли хранить пинкод в заметках в телефоне?,"['Категорически запрещается записывать ПИН-код на карте. Постарайтесь не записывать ПИН-код, запомните его. Если же Вы предпочитаете записать свой ПИН-код, никогда не указывайте, что это ПИН-код и не храните документ с записанным ПИН-кодом рядом с картой.']","Да, однако не указывайте в названии заметки, что это ПИН-код от Вашей карты."
Я потерала карту,"[' Вы потеряли карту или ее украли\nПрежде всего, как можно быстрее, сообщите о случившемся в Банк посредством дистанционного обслуживания \nи заблокируйте карту. Заблокировать карту можно по телефону, в интернет-банке или в мобильном приложении Банка. \nЧем раньше Вы это сделаете, тем меньше вероятность несанкционированного использования карты злоумышленниками. \nРазблокировать карту нельзя — можно только перевыпустить. Если вы не уверены, что карту украли, не спешите ее \nблокировать, установите лимит «0» на операции и запретите покупки через Интернет, если карта будет найдена лимиты \nможно изменить.\nНапоминаем Вам, что в соответствии с Общими условиями выпуска и обслуживания кредитных карт и Общими \nусловиями открытия, ведения и закрытия счетов физических лиц, а также выпуска и обслуживания расчетных карт Ваша \nответственность за дальнейшее использование карты прекращается, после осуществления блокировки, если не станет \nизвестно, что незаконное использование карты имело место с Вашего согласия.\nЕсли карта была у Вас украдена на территории РФ, после блокировки карты заявите о случившемся в полицию. При краже \nкарты за границей, заявите в полицию или в консульский отдел посольства Российской Федерации в стране, на территории \nкоторой произошла кража. Пожалуйста, сохраняйте копию протокола (квитанцию о заявлении) для последующего \nпредъявления в Банк.']","Если вы не уверены, что карту украли, не спешите ее блокировать, установите лимит «0» на операции и запретите покупки через Интернет, если карта будет найдена лимиты можно изменить. В случае, если вы полагаете, что Вашу карту всё-таки украли, то как можно быстрее, сообщите о случившемся в Банк посредством дистанционного обслуживания и заблокируйте карту. Это возможно сделать по телефону, в интернет-банке или в мобильном приложении Банка."
Сколько стоит аренда автомобиля?,[],Информации по Вашему вопросу в документах не найдено.
"Если я из другой страны и у меня нет паспорта РФ, что мне делать?","['\n                     1. Документы и сведения, получаемые в целях идентификации Клиентов-физических лиц, а также в целях обслуживания таких Клиентов в рамках Универсального договора\n                     1.4. Реквизиты документа, удостоверяющего личность: серия (при наличии) и номер документа, дата выдачи документа, наименование органа, выдавшего документ (при наличии кода подразделения может не устанавливаться), и код подразделения (при наличии).\n                     1.4.2.для иностранных граждан:\n                     •паспорт иностранного гражданина;\n                     •дипломатический паспорт, служебный паспорт, удостоверяющие личность иностранного гражданина.', '.5.Документ, подтверждающий право иностранного гражданина или лица без гражданства на пребывание (проживание) в Российской Федерации (миграционной карты в случае отсутствия иных документов), в случае если наличие таких документов обязательно в соответствии с международными договорами Российской Федерации и законодательством Российской Федерации;Документами, подтверждающими право иностранного гражданина или лица без гражданства на пребывание (проживание) в РФ, являются:\n                    •миграционная карта в случае отсутствия иных документов;\n                    •вид на жительство;\n                    •разрешение на временное проживание;\n                    •виза;\n                    •иной документ, подтверждающий в соответствии с международными договорами Российской Федерации и законодательством РФ право иностранного гражданина или лица без гражданства на пребывание (проживание) в РФ.\n']","
                        Если вы из другой страны, то для заключения договора вам неообходимы документы, удостоверяющие Вашу личность. Для иностранных граждан это:
                            •паспорт иностранного гражданина;
                            •дипломатический паспорт, служебный паспорт, удостоверяющие личность иностранного гражданина.
                        Также необходимы документы, подтверждающие право иностранного гражданина (проживание) в Российской Федерации (миграционной карты в случае отсутствия иных документов), в случае если наличие таких документов обязательно в соответствии с международными договорами Российской Федерации и законодательством Российской Федерации;Документами, подтверждающими право иностранного гражданина или лица без гражданства на пребывание (проживание) в РФ, являются:
                            •миграционная карта в случае отсутствия иных документов;
                            •вид на жительство;
                            •разрешение на временное проживание;
                            •виза;
                            •иной документ, подтверждающий в соответствии с международными договорами Российской Федерации и законодательством РФ право иностранного гражданина или лица без гражданства на пребывание (проживание) в РФ. "
В течении скольких дней действительна выписка из ЕГРЮЛ?,"['\n                    2.2. Выписка из Единого государственного реестра юридических лиц (ЕГРЮЛ). Банком может быть принята копия \n                    выписки, заверенная регистрирующим органом. Выписка считается действительной для предоставления в Банк \n                    в течение 30 (тридцати) календарных дней с даты ее выдачи и должна содержать актуальные сведения на дату  \n                    ее предоставления;']",Выписка из Единого государственного реестра юридических лиц (ЕГРЮЛ) действительна в течении 30 дней с даты ее выдачи.
Нужно ли ИП указывать свой сайт для предприятия?,"['\n                    3. Документы и сведения, предоставляемые Клиентом-индивидуальным предпринимателем: \n                    3.5. Сведения о доменном имени, указателе страницы сайта в сети «Интернет», с использованием которых Клиентом \nоказываются услуги (при наличии);\n                    ']","Да, индивидуальному предпринимателю необходимо указать сведения о доменном имени, указателе страницы сайта в сети «Интернет»."
Может ли Банк запросить дополнительные документы - не из списка обязательных?,"['\n                     26. Банк может запросить у Клиента, а Клиент обязуется предоставить по запросу Банка дополнительные документы \n                    и сведения, как предусмотренные, так и не предусмотренные настоящим Перечнем, в том числе в целях надлежащей \n                    идентификации Клиента, его представителя, выгодоприобретателя и бенефициарного владельца в соответствии \n                    с требованиями действующего законодательства Российской Федерации, нормативных актов Банка России, а также \n                    требованиями Банка. Банк вправе не запрашивать отдельные документы и сведения, предусмотренные настоящим \n                    Перечнем, в случаях, установленных внутренними правилами Банка.']","Да, Банк может запросить у Вас дополнительные не предусмотренные Перечнем документы."
