question,contexts,ground_truth,answer
Можно ли не расписываться на карте?,"['После получения карты поставьте свою подпись в прямоугольнике, расположенном на оборотной стороне карты. При отсутствии подписи карта может быть не принята к оплате в торгово-сервисном предприятии, а также повышается риск использования карты злоумышленниками в случае ее утраты/кражи.']","При отсутствии подписи карта может быть не принята к оплате в торгово-сервисном предприятии, а также повышается риск использования карты злоумышленниками в случае ее утраты/кражи.","Да, при совершении операции оплаты покупки или услуги с использованием карты, Вы обязаны подписать квитанцию (слип) или чек. В случае, если операция проводится с использованием электронного терминала, кассир может попросить Вас расписаться на карте после проверки удостоверяющих личность документов. Без Вашей подписи на полосе для подписи, карта считается недействительной, и Вам может быть отказано в обслуживании."
"Мой друг попросил меня дать свою карту для оплаты и потом вернуть, это не опасно?","['Никогда не принимайте рекомендации, советы, помощь от третьих лиц при пользовании картой, особенно при снятии наличных денежных средств в банкоматах. В случае возникновения затруднений при совершении операции обратитесь Банк посредством дистанционного обслуживания. Обращайте внимание на расположение банкоматов. Старайтесь не пользоваться банкоматами, расположенными в плохо освещенных и безлюдных местах', 'Не передавайте карту другим лицам, в т.ч. родственникам и знакомым для проведения транзакций. С целью исключения Ваших потерь от несанкционированного использования Вашей карты (копирования информации с Вашей карты для ее дальнейшего мошеннического использования): при совершении операции оплаты с использованием карты никогда не выпускайте Вашу карту из поля зрения и требуйте от обслуживающего Вас лица, чтобы все операции с использованием карты совершались в Вашем присутствии.']","Не передавайте карту другим лицам, в т.ч. родственникам и знакомым для проведения транзакций и никогда не принимайте рекомендации, советы, помощь от третьих лиц при пользовании картой, особенно при снятии наличных денежных средств в банкоматах.","Да, передавать свою карту другому лицу для оплаты не безопасно, так как это может повлечь за собой риск несанкционированного использования вашей карты. Рекомендуется всегда проводить операции с использованием карты в вашем присутствии и не передавать ее третьим лицам. В случае возникновения затруднений при совершении операций, следует обратиться в банк через дистанционное обслуживание."
Безопасно ли хранить пинкод в заметках в телефоне?,"['Категорически запрещается записывать ПИН-код на карте. Постарайтесь не записывать ПИН-код, запомните его. Если же Вы предпочитаете записать свой ПИН-код, никогда не указывайте, что это ПИН-код и не храните документ с записанным ПИН-кодом рядом с картой.']","Да, однако не указывайте в названии заметки, что это ПИН-код от Вашей карты.","Хранение пин-кода в заметках на телефоне является небезопасным действием, так как может привести к возможной компрометации конфиденциальной информации. Рекомендуется не хранить пин-коды вместе с банковскими картами или в устройствах, доступ к которым могут получить посторонние лица. Лучше запомнить пин-код или держать его на бумажном носителе в надежном и недоступном для посторонних месте. Также важно не передавать пин-код третьим лицам и не использовать его в ненадежных или подозрительных местах, чтобы избежать риска несанкционированного доступа к средствам на карте. Если у вас возникли сомнения или вопросы относительно безопасности хранения пин-кода, рекомендуется обратиться в банк для получения консультации и дополнительной информации."
Я потеряла карту,"[' Вы потеряли карту или ее украли\nПрежде всего, как можно быстрее, сообщите о случившемся в Банк посредством дистанционного обслуживания \nи заблокируйте карту. Заблокировать карту можно по телефону, в интернет-банке или в мобильном приложении Банка. \nЧем раньше Вы это сделаете, тем меньше вероятность несанкционированного использования карты злоумышленниками. \nРазблокировать карту нельзя — можно только перевыпустить. Если вы не уверены, что карту украли, не спешите ее \nблокировать, установите лимит «0» на операции и запретите покупки через Интернет, если карта будет найдена лимиты \nможно изменить.\nНапоминаем Вам, что в соответствии с Общими условиями выпуска и обслуживания кредитных карт и Общими \nусловиями открытия, ведения и закрытия счетов физических лиц, а также выпуска и обслуживания расчетных карт Ваша \nответственность за дальнейшее использование карты прекращается, после осуществления блокировки, если не станет \nизвестно, что незаконное использование карты имело место с Вашего согласия.\nЕсли карта была у Вас украдена на территории РФ, после блокировки карты заявите о случившемся в полицию. При краже \nкарты за границей, заявите в полицию или в консульский отдел посольства Российской Федерации в стране, на территории \nкоторой произошла кража. Пожалуйста, сохраняйте копию протокола (квитанцию о заявлении) для последующего \nпредъявления в Банк.']","Если вы не уверены, что карту украли, не спешите ее блокировать, установите лимит «0» на операции и запретите покупки через Интернет, если карта будет найдена лимиты можно изменить. В случае, если вы полагаете, что Вашу карту всё-таки украли, то как можно быстрее, сообщите о случившемся в Банк посредством дистанционного обслуживания и заблокируйте карту. Это возможно сделать по телефону, в интернет-банке или в мобильном приложении Банка.","Потребуйте составления акта об изъятии с указанием даты, времени и причины изъятия, а также подписью сотрудника предприятия/банка, изъявшего карту. После этого срочно проинформируйте об изъятии Банк посредством дистанционного обслуживания."
"Почему при использовании карты важно не расписываться на квитанциях/чеках до того, как вы проверите правильность указанной суммы?","['Проверяйте правильность суммы, указанной на платежном чеке. Поставив подпись на платежном чеке, Вы соглашаетесь со списанием указанной на нем суммы с Вашего карточного счета.']","Важно проверять правильность суммы перед подписанием квитанции/чека, потому что после подписи вы соглашаетесь с этой суммой, и она будет списана с вашего счета.","При использовании карты важно не расписываться на квитанциях/чеках до того, как проверить правильность указанной суммы. Подписание квитанции или чека подтверждает факт совершения операции, поэтому перед подписью необходимо убедиться, что сумма указана корректно. В случае ошибок, неправильных цифр или букв на чеке, требуется потребовать разорвать или перечеркнуть все экземпляры чека в вашем присутствии и оформить новый. Никогда не подписывайте чек, если на нем не указана сумма покупки. Также важно хранить квитанции и чеки в соответствии с условиями договора с банком и регулярно сравнивать их с выпиской по карте. Если возникнут вопросы или расхождения, рекомендуется обратиться в банк для уточнения информации."
"Что делать, если я потеряла телефон, на котором было установлено мобильное приложение банка?","['При утрате Мобильного телефона, используемого с абонентским номером подвижной радиотелефонной связи, на который установлено Мобильное приложение Банка, Вам следует срочно обратиться к своему оператору сотовой связи для блокировки SIM-карты и в Банк посредством дистанционного обслуживания для блокировки доступа в мобильное приложение Банка и удаления данных карты с Мобильного телефона.']","Если вы потеряли телефон с установленным мобильным приложением банка, необходимо:

Срочно обратиться к оператору сотовой связи для блокировки SIM-карты.
Обратиться в банк через дистанционное обслуживание для блокировки доступа в мобильное приложение и удаления данных карты с телефона.","При утрате мобильного телефона, на котором было установлено мобильное приложение банка Tinkoff, следует срочно обратиться к оператору сотовой связи для блокировки SIM-карты и к банку через дистанционное обслуживание для блокировки доступа в мобильное приложение банка и удаления данных карты с утерянного телефона."
Можно ли использовать интернет-кафе и другие общедоступные места для совершения операций по карте в интернете? Объясните причину.,"['Избегайте осуществления Интернет-операций с использованием карты в местах, где услуги Интернет являются общедоступными, например, в Интернет-кафе.']","Нет, не рекомендуется использовать интернет-кафе и другие общедоступные места для совершения операций по карте в интернете. Причина в том, что такие общедоступные сети являются менее безопасными, и есть риск перехвата данных карты злоумышленниками.","Да, можно использовать интернет-кафе и другие общедоступные места для совершения операций по карте в интернете, но следует быть осторожным. Для безопасности рекомендуется избегать осуществления интернет-операций с использованием карты в местах, где услуги интернета являются общедоступными, например, в интернет-кафе. Важно также пользоваться проверенными интернет-магазинами, в надежности которых вы уверены. При совершении покупок в интернете, всегда будьте готовы ввести трехзначный код безопасности CVC2/CVV2 для повышения безопасности операций. Не сообщайте реквизиты вашей банковской карты (номер карты, срок действия, трехзначный код безопасности, ПИН-код) никому, за исключением использования автоматизированными системами MOTO и системами интернет-коммерции."
"Что делать, если я получил SMS-оповещение о операции по карте, которую я не совершал?","['Если Вы уверены, что операция не могла быть совершена Вами, то как можно быстрее сообщите об этом в Банк посредством дистанционного обслуживания и заблокируйте карту.']","Если вы получили SMS-оповещение о операции, которую не совершали, нужно как можно быстрее сообщить об этом в банк через дистанционное обслуживание и заблокировать карту.","Если вы получили SMS-оповещение о операции по карте, которую вы не совершали, сначала проверьте наличие карты. Если карта у вас есть, возможно, данные вашей карты стали известны третьим лицам. Проверьте соответствие текста в SMS-сообщении операциям, которые вы совершили по карте за последнее время. Если вы уверены, что операция не могла быть совершена вами, свяжитесь с банком посредством дистанционного обслуживания и заблокируйте карту. Не забывайте, что при операциях в сети Интернет или заказах по телефону в SMS-сообщении могут быть указаны страна/город, отличающиеся от места вашего проживания. Если у вас возникли сомнения, обращайтесь в банк по указанным контактным данным на их официальном сайте tinkoff.ru/contacts."
Как обезопасить себя от съема данных карты в банкомате злоумышленниками? Приведи два способа.,"['Поэтому, при пользовании банкоматом не ленитесь внимательно осмотреть его и убедиться в отсутствии каких-либо «накладок» и посторонних устройств.', 'Пожалуйста, примите все меры, чтобы вводимый Вами ПИН-код был не заметен для окружающих.']","Чтобы обезопасить себя от съема данных карты в банкомате:

Внимательно осматривайте банкомат перед использованием на наличие подозрительных накладок и посторонних устройств.
Прикрывайте рукой клавиатуру при вводе ПИН-кода, чтобы его не могли увидеть окружающие.","Для обезопасить себя от съема данных карты в банкомате злоумышленниками, рекомендуется следовать следующим способам:

1. Не передавайте карту другим лицам, включая родственников и знакомых, для проведения транзакций. При совершении операции оплаты с использованием карты, никогда не теряйте ее из виду и требуйте, чтобы все операции с картой совершались в вашем присутствии.

2. При вводе ПИН-кода не допускайте, чтобы кто-либо наблюдал за вами. Рекомендуется прикрывать клавиатуру банкомата рукой для исключения возможности компрометации ПИН-кода при помощи видеокамер, установленных мошенниками.

Эти простые меры могут помочь снизить риск несанкционированного использования вашей карты злоумышленниками."
"Правда ли, что при бронировании гостиницы по карте мне необходимо сообщить все реквизиты карты, включая ПИН-код? Если нет, то что именно требуется сообщить?","['При бронировании номера в гостинице по карте Вас попросят сообщить свое имя, номер карты, срок ее действия (иногда, дополнительно — трехзначный код безопасности, напечатанный на обратной стороне карты на полосе для подписи) и срок Вашего пребывания.']","Нет, неправда. При бронировании гостиницы по карте не требуется сообщать ПИН-код. Обычно для бронирования запрашивают ваше имя, номер карты, срок ее действия, иногда трехзначный код безопасности (CVV/CVC) с оборотной стороны карты и планируемый срок пребывания.","При бронировании номера в гостинице по карте вам необходимо сообщить свое имя, номер карты, срок ее действия, а иногда дополнительно трехзначный код безопасности, напечатанный на обратной стороне карты на полосе для подписи, и срок вашего пребывания. Необходимо также запрашивать код подтверждения бронирования и стоимость проживания. Важно помнить, что гостиница может произвести авторизационный запрос на незначительную сумму для проверки подлинности карты. При отмене бронирования через интернет стоит сохранить подтверждающее отмену письмо с кодом отмены, а при отмене по телефону узнать код отмены и имя служащего гостиницы, производившего отмену."
