question,contexts,ground_truth,answer
Можно ли не расписываться на карте?,"['После получения карты поставьте свою подпись в прямоугольнике, расположенном на оборотной стороне карты. При отсутствии подписи карта может быть не принята к оплате в торгово-сервисном предприятии, а также повышается риск использования карты злоумышленниками в случае ее утраты/кражи.']","При отсутствии подписи карта может быть не принята к оплате в торгово-сервисном предприятии, а также повышается риск использования карты злоумышленниками в случае ее утраты/кражи.","Да, согласно представленному контексту, без подписи на полосе для подписи карта недействительна и Вам может быть отказано в обслуживании."
"Мой друг попросил меня дать свою карту для оплаты и потом вернуть, это не опасно?","['Никогда не принимайте рекомендации, советы, помощь от третьих лиц при пользовании картой, особенно при снятии наличных денежных средств в банкоматах. В случае возникновения затруднений при совершении операции обратитесь Банк посредством дистанционного обслуживания. Обращайте внимание на расположение банкоматов. Старайтесь не пользоваться банкоматами, расположенными в плохо освещенных и безлюдных местах', 'Не передавайте карту другим лицам, в т.ч. родственникам и знакомым для проведения транзакций. С целью исключения Ваших потерь от несанкционированного использования Вашей карты (копирования информации с Вашей карты для ее дальнейшего мошеннического использования): при совершении операции оплаты с использованием карты никогда не выпускайте Вашу карту из поля зрения и требуйте от обслуживающего Вас лица, чтобы все операции с использованием карты совершались в Вашем присутствии.']","Не передавайте карту другим лицам, в т.ч. родственникам и знакомым для проведения транзакций и никогда не принимайте рекомендации, советы, помощь от третьих лиц при пользовании картой, особенно при снятии наличных денежных средств в банкоматах.","Я не могу дать вам конкретный ответ на этот вопрос, так как не имею доступа к личной информации о вашем друге и его карте. Однако, я могу сказать, что передача своей карты другому человеку для оплаты и последующего возврата может быть опасной, особенно если карта была удержана банкоматом или заблокирована. Поэтому перед тем, как передать свою карту, убедитесь, что она не заблокирована и что вы можете получить ее обратно после использования."
Безопасно ли хранить пинкод в заметках в телефоне?,"['Категорически запрещается записывать ПИН-код на карте. Постарайтесь не записывать ПИН-код, запомните его. Если же Вы предпочитаете записать свой ПИН-код, никогда не указывайте, что это ПИН-код и не храните документ с записанным ПИН-кодом рядом с картой.']","Да, однако не указывайте в названии заметки, что это ПИН-код от Вашей карты.","Нет, не безопасно хранить пинкод в заметках в телефоне."
Я потеряла карту,"[' Вы потеряли карту или ее украли\nПрежде всего, как можно быстрее, сообщите о случившемся в Банк посредством дистанционного обслуживания \nи заблокируйте карту. Заблокировать карту можно по телефону, в интернет-банке или в мобильном приложении Банка. \nЧем раньше Вы это сделаете, тем меньше вероятность несанкционированного использования карты злоумышленниками. \nРазблокировать карту нельзя — можно только перевыпустить. Если вы не уверены, что карту украли, не спешите ее \nблокировать, установите лимит «0» на операции и запретите покупки через Интернет, если карта будет найдена лимиты \nможно изменить.\nНапоминаем Вам, что в соответствии с Общими условиями выпуска и обслуживания кредитных карт и Общими \nусловиями открытия, ведения и закрытия счетов физических лиц, а также выпуска и обслуживания расчетных карт Ваша \nответственность за дальнейшее использование карты прекращается, после осуществления блокировки, если не станет \nизвестно, что незаконное использование карты имело место с Вашего согласия.\nЕсли карта была у Вас украдена на территории РФ, после блокировки карты заявите о случившемся в полицию. При краже \nкарты за границей, заявите в полицию или в консульский отдел посольства Российской Федерации в стране, на территории \nкоторой произошла кража. Пожалуйста, сохраняйте копию протокола (квитанцию о заявлении) для последующего \nпредъявления в Банк.']","Если вы не уверены, что карту украли, не спешите ее блокировать, установите лимит «0» на операции и запретите покупки через Интернет, если карта будет найдена лимиты можно изменить. В случае, если вы полагаете, что Вашу карту всё-таки украли, то как можно быстрее, сообщите о случившемся в Банк посредством дистанционного обслуживания и заблокируйте карту. Это возможно сделать по телефону, в интернет-банке или в мобильном приложении Банка.","Если вы потеряли карту, вам следует немедленно сообщить об этом в полицию или консульский отдел посольства Российской Федерации в стране, где произошла кража. Сохраните копию протокола (квитанцию о заявлении) для последующего предъявления в Банк. Если карта была изъята в торгово-сервисном предприятии или учреждении банка, потребуйте составления акта об изъятии с указанием даты, времени и причины изъятия, а также подписью сотрудника предприятия/банка, изъявшего карту. После этого срочно проинформируйте Банк о произошедшем посредством дистанционного обслуживания. Если карта была удержана банкоматом, обратитесь в банк посредством дистанционного обслуживания. Если карта была удержана банкоматом стороннего банка, обратитесь в банк, обслуживающий банкомат, и сообщите о произошедшем."
"Почему при использовании карты важно не расписываться на квитанциях/чеках до того, как вы проверите правильность указанной суммы?","['Проверяйте правильность суммы, указанной на платежном чеке. Поставив подпись на платежном чеке, Вы соглашаетесь со списанием указанной на нем суммы с Вашего карточного счета.']","Важно проверять правильность суммы перед подписанием квитанции/чека, потому что после подписи вы соглашаетесь с этой суммой, и она будет списана с вашего счета.","Я не могу ответить на этот вопрос, так как контекст, предоставленный вами, не имеет отношения к теме использования карт."
"Что делать, если я потеряла телефон, на котором было установлено мобильное приложение банка?","['При утрате Мобильного телефона, используемого с абонентским номером подвижной радиотелефонной связи, на который установлено Мобильное приложение Банка, Вам следует срочно обратиться к своему оператору сотовой связи для блокировки SIM-карты и в Банк посредством дистанционного обслуживания для блокировки доступа в мобильное приложение Банка и удаления данных карты с Мобильного телефона.']","Если вы потеряли телефон с установленным мобильным приложением банка, необходимо:

Срочно обратиться к оператору сотовой связи для блокировки SIM-карты.
Обратиться в банк через дистанционное обслуживание для блокировки доступа в мобильное приложение и удаления данных карты с телефона.","Если вы потеряли телефон, на котором было установлено мобильное приложение банка, вам следует срочно обратиться к своему оператору сотовой связи для блокировки SIM-карты и в банк для блокировки доступа в мобильное приложение банка и удаления данных карты с мобильного телефона."
Можно ли использовать интернет-кафе и другие общедоступные места для совершения операций по карте в интернете? Объясните причину.,"['Избегайте осуществления Интернет-операций с использованием карты в местах, где услуги Интернет являются общедоступными, например, в Интернет-кафе.']","Нет, не рекомендуется использовать интернет-кафе и другие общедоступные места для совершения операций по карте в интернете. Причина в том, что такие общедоступные сети являются менее безопасными, и есть риск перехвата данных карты злоумышленниками.","Нет, не рекомендуется использовать интернет-кафе и другие общедоступные места для совершения операций по карте в интернете. Это связано с повышенным риском мошенничества и кражи личных данных."
"Что делать, если я получил SMS-оповещение о операции по карте, которую я не совершал?","['Если Вы уверены, что операция не могла быть совершена Вами, то как можно быстрее сообщите об этом в Банк посредством дистанционного обслуживания и заблокируйте карту.']","Если вы получили SMS-оповещение о операции, которую не совершали, нужно как можно быстрее сообщить об этом в банк через дистанционное обслуживание и заблокировать карту.","Если вы получили SMS-оповещение о операции по карте, которую вы не совершали, вам следует немедленно связаться с банком и заблокировать карту. Также рекомендуется установить лимиты на операции и снять ограничения на использование карты, если она была найдена."
Как обезопасить себя от съема данных карты в банкомате злоумышленниками? Приведи два способа.,"['Поэтому, при пользовании банкоматом не ленитесь внимательно осмотреть его и убедиться в отсутствии каких-либо «накладок» и посторонних устройств.', 'Пожалуйста, примите все меры, чтобы вводимый Вами ПИН-код был не заметен для окружающих.']","Чтобы обезопасить себя от съема данных карты в банкомате:

Внимательно осматривайте банкомат перед использованием на наличие подозрительных накладок и посторонних устройств.
Прикрывайте рукой клавиатуру при вводе ПИН-кода, чтобы его не могли увидеть окружающие.","Два способа обезопасить себя от съема данных карты в банкомате злоумышленниками:

1. Прикрывать клавиатуру банкомата рукой при вводе ПИН-кода.
2. Никогда не сообщать свой ПИН-код при совершении операций по карте через сайты сети Интернет, при опросах/информировании по телефону, электронной почте и т.д., даже если это лицо представляется сотрудником Банка."
"Правда ли, что при бронировании гостиницы по карте мне необходимо сообщить все реквизиты карты, включая ПИН-код? Если нет, то что именно требуется сообщить?","['При бронировании номера в гостинице по карте Вас попросят сообщить свое имя, номер карты, срок ее действия (иногда, дополнительно — трехзначный код безопасности, напечатанный на обратной стороне карты на полосе для подписи) и срок Вашего пребывания.']","Нет, неправда. При бронировании гостиницы по карте не требуется сообщать ПИН-код. Обычно для бронирования запрашивают ваше имя, номер карты, срок ее действия, иногда трехзначный код безопасности (CVV/CVC) с оборотной стороны карты и планируемый срок пребывания.","Да, при бронировании гостиницы по карте вам необходимо сообщить все реквизиты карты, включая имя держателя карты, номер карты, срок ее действия и иногда трехзначный код безопасности, напечатанный на обратной стороне карты на полосе для подписи."
